,games_played,player_id,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,4_years,first_name,last_name,position,height_feet,height_inches,weight_pounds,team_id,team_abbreviation,team_city,team_conference,team_division,team_full_name,team_name
349,74,284,2018,21:44,4.11,7.23,0.09,0.42,1.2,1.66,1.89,1.97,3.86,1.2,0.15,1.05,1.3,1.68,9.51,0.568,0.226,0.724,1,Robin,Lopez,C,7.0,0.0,275.0,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
350,22,285,2018,27:10,4.95,12.86,2.41,6.68,4.68,5.18,1.5,9.36,10.86,2.18,0.27,0.23,1.91,2.45,17.0,0.385,0.361,0.904,1,Kevin,Love,F-C,6.0,10.0,251.0,16,MIA,Miami,East,Southeast,Miami Heat,Heat
351,75,306,2018,22:17,5.33,8.55,0.01,0.16,1.28,2.03,2.6,4.95,7.55,0.69,0.63,1.97,1.44,2.77,11.96,0.624,0.083,0.632,1,JaVale,McGee,C,7.0,0.0,270.0,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
352,64,337,2018,20:23,2.27,5.64,1.39,4.0,1.09,1.33,0.89,2.92,3.81,1.19,0.34,0.59,0.75,2.03,7.02,0.402,0.348,0.824,1,Mike,Muscala,F-C,6.0,11.0,240.0,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
353,56,376,2018,30:06,5.34,11.48,1.86,4.57,1.39,1.71,0.96,4.64,5.61,2.14,1.46,0.55,1.16,1.93,13.93,0.465,0.406,0.813,1,Otto,Porter Jr.,F,6.0,8.0,198.0,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
354,51,401,2018,27:18,7.12,14.76,1.06,2.86,2.69,3.14,0.65,2.1,2.75,4.31,0.61,0.24,1.61,1.12,17.98,0.482,0.37,0.856,1,Derrick,Rose,G,6.0,3.0,200.0,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
355,73,472,2018,36:02,8.63,20.18,1.63,5.63,4.05,6.18,1.49,9.56,11.05,10.74,1.95,0.45,4.45,3.36,22.95,0.428,0.29,0.656,1,Russell,Westbrook,G,6.0,3.0,200.0,13,LAC,LA,West,Pacific,LA Clippers,Clippers
356,81,489,2018,30:43,5.47,10.38,0.63,1.8,1.07,1.67,2.37,4.09,6.46,2.52,1.52,0.44,1.52,2.4,12.64,0.527,0.349,0.644,1,Thaddeus,Young,F,6.0,8.0,221.0,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
357,80,3,2018,33:22,6.01,10.11,0.0,0.03,1.83,3.65,4.89,4.61,9.5,1.55,1.46,0.95,1.69,2.55,13.85,0.595,0.0,0.5,1,Steven,Adams,C,7.0,0.0,265.0,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
358,72,15,2018,32:46,10.01,17.32,0.72,2.82,6.94,9.53,2.21,10.26,12.47,5.89,1.28,1.53,3.72,3.22,27.69,0.578,0.256,0.729,1,Giannis,Antetokounmpo,F,6.0,11.0,242.0,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
