  full_name,2022/23 ,2022/23(*)
Jock Landale,"$1,563,518","$1,609,941"
Aaron Wiggins,"$1,563,518","$1,609,941"
Miles McBride,"$1,563,518","$1,609,941"
Jose Alvarado,"$1,563,518","$1,609,941"
Austin Reaves,"$1,563,518","$1,609,941"
BJ Boston,"$1,563,518","$1,609,941"
Jason Preston,"$1,563,518","$1,609,941"
Daishen Nix,"$1,563,518","$1,609,941"
Isaiah Livers,"$1,563,518","$1,609,941"
Ayo Dosunmu,"$1,563,518","$1,609,941"
Marko Simonovic,"$1,563,518","$1,609,941"
JT Thor,"$1,563,518","$1,609,941"
Vit Krejci,"$1,563,518","$1,609,941"
Kenneth Lofton,"$1,505,966","$1,550,680"
Christian Koloko,"$1,500,000","$1,544,537"
Bryce McGowens,"$1,461,055","$1,504,436"
Eric Bledsoe,"$1,300,000","$1,338,599"
Jordan Goodwin,"$1,280,206","$1,318,217"
Kennedy Chandler,"$1,200,000","$1,235,630"
Noah Vonleh,"$1,160,955","$1,195,425"
Sandro Mamukelashvili,"$1,116,112","$1,149,251"
Sam Merrill,"$1,105,522","$1,138,346"
Zhaire Smith,"$1,068,200","$1,099,916"
Jabari Walker,"$1,017,781","$1,048,000"
Josh Minott,"$1,017,781","$1,048,000"
Max Christie,"$1,017,781","$1,048,000"
Ryan Rollins,"$1,017,781","$1,048,000"
Jaden Hardy,"$1,017,781","$1,048,000"
Tyrese Martin,"$1,017,781","$1,048,000"
Eugene Omoruyi,"$1,013,119","$1,043,199"
Kris Dunn,"$1,000,001","$1,029,692"
Kyle Singler,"$999,200","$1,028,868"
Ishmail Wainright,"$980,057","$1,009,156"
Admiral Schofield,"$877,940","$904,007"
Justin Champagnie,"$853,241","$878,574"
Trevelin Queen,"$838,891","$863,798"
Moses Brown,"$824,041","$848,506"
Matt Ryan,"$806,097","$830,030"
DaQuan Jeffries,"$799,403","$823,138"
PJ Dozier,"$784,654","$807,951"
Cody Zeller,"$743,922","$766,010"
Meyers Leonard,"$713,558","$734,744"
Nik Stauskas,"$702,311","$723,163"
Anthony Lamb,"$694,878","$715,510"
Michael Carter-Williams,"$652,829","$672,212"
DJ Augustin,"$633,938","$652,760"
Duane Washington Jr,"$628,802","$647,471"
Carlik Jones,"$612,162","$630,338"
Juwan Morgan,"$576,230","$593,339"
Malik Fitts,"$555,217","$571,702"
Luka Samanic,"$538,317","$554,300"
David Duke,"$531,283","$547,057"
Trevor Keels,"$520,589","$536,046"
Dereon Seabron,"$511,816","$527,012"
Johnny Juzang,"$508,891","$524,000"
Micah Potter,"$508,891","$524,000"
Ron Harper Jr,"$508,891","$524,000"
Jeff Dowtin,"$508,891","$524,000"
Julian Champagnie,"$508,891","$524,000"
Dominick Barlow,"$508,891","$524,000"
Neemias Queta,"$508,891","$524,000"
Keon Ellis,"$508,891","$524,000"
Kevon Harris,"$508,891","$524,000"
EJ Liddell,"$508,891","$524,000"
Luka Garza,"$508,891","$524,000"
AJ Green,"$508,891","$524,000"
Jamal Cain,"$508,891","$524,000"
Vince Williams Jr,"$508,891","$524,000"
Cole Swider,"$508,891","$524,000"
Scottie Pippen Jr,"$508,891","$524,000"
Moussa Diabate,"$508,891","$524,000"
Kendall Brown,"$508,891","$524,000"
Trevor Hudgins,"$508,891","$524,000"
Darius Days,"$508,891","$524,000"
Buddy Boeheim,"$508,891","$524,000"
Collin Gillespie,"$508,891","$524,000"
Jack White,"$508,891","$524,000"
McKinley Wright,"$508,891","$524,000"
Isaiah Mobley,"$508,891","$524,000"
Mamadi Diakite,"$508,891","$524,000"
Malcolm Hill,"$508,891","$524,000"
JD Davison,"$508,891","$524,000"
Mfiondu Kabengele,"$508,891","$524,000"
Trent Forrest,"$508,891","$524,000"
John Butler,"$503,041","$517,977"
Chima Moneke,"$500,000","$514,845"
Facundo Campazzo,"$464,299","$478,084"
Orlando Robinson,"$386,055","$397,517"
Dru Smith,"$374,357","$385,472"
AJ Lawson,"$371,432","$382,460"
Louis King,"$307,089","$316,207"
Jared Rhoden,"$307,089","$316,207"
Robert Woodard,"$300,000","$308,907"
Didi Louzada,"$268,032","$275,990"
Jarrett Culver,"$260,295","$268,023"
Olivier Sarr,"$257,371","$265,012"
Alondes Williams,"$254,446","$262,000"
DJ Wilson,"$250,000","$257,422"
Donovan Williams,"$239,822","$246,942"
Quenton Jackson,"$219,630","$226,150"
Chris Silva,"$211,045","$217,311"
Braxton Key,"$201,802","$207,793"
Tyler Dorsey,"$201,802","$207,793"
Jordan Hall,"$193,027","$198,758"
Alize Johnson,"$192,293","$198,002"
Kostas Antetokounmpo,"$172,555","$177,678"
Devon Dotson,"$169,630","$174,666"
Mac McClung,"$160,856","$165,632"
Willie Cauley-Stein,"$155,738","$160,362"
Nate Darling,"$152,082","$156,597"
Xavier Cooks,"$140,384","$144,552"
Keaton Wallace,"$140,384","$144,552"
Shaquille Harrison,"$134,862","$138,866"
Feron Hunt,"$131,610","$135,517"
Lester Quinones,"$129,405","$133,247"
Troy Williams,"$122,741","$126,385"
Jay Huff,"$116,986","$120,459"
Jamaree Bouyea,"$116,986","$120,458"
Xavier Moon,"$116,986","$120,459"
Skylar Mays,"$116,574","$120,035"
Frank Jackson,"$113,114","$116,472"
Michael Foster,"$106,288","$109,443"
Jarrell Brantley,"$105,522","$108,655"
