index  PLAYER	2022/23 	2022/23(*)
156.	Dario Saric	$9,240,000	$9,514,352
157.	Royce O'Neale	$9,200,000	$9,473,164
158.	Monte Morris	$9,125,000	$9,395,937
159.	Mason Plumlee	$9,080,417	$9,350,030
160.	Alex Caruso	$9,030,000	$9,298,116
161.	Maxi Kleber	$9,000,000	$9,267,225
162.	Grayson Allen	$8,925,000	$9,189,999
163.	Darius Garland	$8,920,794	$9,185,668
164.	Jabari Smith	$8,882,640	$9,146,381
165.	Isaiah Hartenstein	$8,854,879	$9,117,796
166.	Kyle Anderson	$8,780,488	$9,041,196
167.	Victor Oladipo	$8,750,000	$9,009,803
168.	Daniel Theis	$8,694,369	$8,952,520
169.	LaMelo Ball	$8,623,920	$8,879,979
170.	Seth Curry	$8,496,653	$8,748,933
171.	Evan Mobley	$8,478,720	$8,730,468
172.	Gary Payton II	$8,300,000	$8,546,441
173.	Dewayne Dedmon	$8,283,688	$8,529,645
174.	De'Anthony Melton	$8,250,000	$8,494,957
175.	JaMychal Green	$8,200,000	$8,443,471
176.	TJ McConnell	$8,100,000	$8,340,503
177.	Keegan Murray	$8,008,440	$8,246,224
178.	Thaddeus Young	$8,000,000	$8,237,534
178.	Kevon Looney	$8,000,000	$8,237,534
180.	Delon Wright	$7,804,878	$8,036,618
181.	Patrick Williams	$7,775,400	$8,006,265
182.	Scottie Barnes	$7,644,600	$7,871,581
183.	Cedi Osman	$7,426,088	$7,646,581
184.	Coby White	$7,413,955	$7,634,088
185.	Zach Collins	$7,350,000	$7,568,234
186.	Jaden Ivey	$7,252,200	$7,467,530
187.	Taurean Prince	$7,100,000	$7,310,811
188.	Jae'Sean Tate	$7,065,217	$7,274,995
189.	Isaac Okoro	$7,040,880	$7,249,936
190.	Cody Martin	$7,000,000	$7,207,842
191.	Jalen Suggs	$6,922,320	$7,127,855
192.	Jaxson Hayes	$6,803,012	$7,005,005
193.	Khem Birch	$6,667,500	$6,865,469
194.	Bennedict Mathurin	$6,586,800	$6,782,373
195.	Joe Ingles	$6,479,000	$6,671,373
